Volume(Ang^3) Energy(eV)
5.874191416168198 -7448.80680982159
6.607957810442815 -7496.511380222096
7.369983035298478 -7533.183986540409
8.159214979056502 -7561.740311504358
8.974779351730373 -7584.228041380888
9.81584631875662 -7602.112974486281
10.681645319469164 -7616.461730744927
11.571509522522357 -7628.1014002701395
12.48480173351925 -7637.613704342771
13.420914395011588 -7645.429285892065
14.37934367887155 -7651.876333675463
15.359541301548267 -7657.2293668695875
16.36106270881131 -7661.683496899097
17.383448527955906 -7665.395932707091
18.426283841700315 -7668.508955881093
19.489183369711494 -7671.13419328243
20.57176183165641 -7673.358028848692
21.673678402625065 -7675.251514392374
22.794592257707457 -7676.880964902194
23.934192208942285 -7678.304364053712
25.0921818868426 -7679.581132964489
26.268264921921446 -7680.7406528673855
27.46215976316622 -7681.779767376508
28.673614496513 -7682.711380952243
29.902392026372237 -7683.5483328836835
31.148225620205665 -7684.3005492078555
32.41089300089807 -7684.976526819257
33.69018670980858 -7685.583747763368
34.98586965134764 -7686.12858467705
36.297764003823076 -7686.616527731585
37.62564749011967 -7687.053427241085
38.96934228854524 -7687.445209439457
40.328655758933294 -7687.796944898255
41.70342489806598 -7688.113236016966
43.09347188425114 -7688.397086253435
44.49861889579659 -7688.650201762201
45.91873256643321 -7688.874256044127
47.35362025599448 -7689.071020016872
48.803163416685614 -7689.242519840993
50.2671990452888 -7689.391062362596
51.74557895706054 -7689.519013476518
53.23818460420606 -7689.62856274775
54.74488262045624 -7689.7214995977
56.26551000259325 -7689.799193303821
57.799977839771 -7689.862725383054
59.34813794724602 -7689.91294197376
60.909886595697884 -7689.950587171567
62.48509041885744 -7689.97635704399
64.07364568740427 -7689.990931467757
65.67564131218444 -7689.995008687297
67.2903660064293 -7689.989309260377
68.91832359826662 -7689.97452163532
70.5591880812608 -7689.951326369143
72.21287054456573 -7689.920357487377
73.87928207733532 -7689.882210239311
75.55831895024915 -7689.8374439551935
77.24989225246112 -7689.78656612756
78.95388343617645 -7689.730060983207
80.67024804597212 -7689.6683632241875
82.39885271557897 -7689.601887688236
84.13963817109962 -7689.531008804161
85.892515501688 -7689.456084401824
87.657395796498 -7689.377453127049
89.4342049631579 -7689.295418250846
91.2228540908216 -7689.210277738001
93.02326908711734 -7689.122315131264
94.83537585967343 -7689.031795469634
96.65910031611813 -7688.938973179662
98.49436836407968 -7688.844090850946
100.34112072966066 -7688.7473742020165
102.19925368354069 -7688.649044053353
104.06872277029667 -7688.549309388479
105.94945389755694 -7688.448363272249
107.84138779142403 -7688.346381898453
109.7444355410519 -7688.2435356104315
111.6585526910175 -7688.1399852275335
113.58367996742344 -7688.035872657192
115.51974327789796 -7687.931329874679
117.4666833485437 -7687.826488311036
119.42442608698889 -7687.721464839209
121.39294185628488 -7687.616362998561
123.37214174558552 -7687.5112842876
125.36199611794217 -7687.406330204834
127.36243088098307 -7687.301577758513
129.37338676081083 -7687.197114025105
131.39483412047676 -7687.09301152298
133.42668404913474 -7686.989346171936
135.46890690983614 -7686.886177156755
137.5214434286835 -7686.783569920849
139.58424915025384 -7686.681577526436
141.65726480064973 -7686.580257525624
143.74043110597378 -7686.479656041725
145.83371842927733 -7686.379819198058
147.93706749666293 -7686.280792301597
150.05043385270758 -7686.1826115435
152.17377304198823 -7686.085315155775
154.3070406090818 -7685.988934295475
156.45016246161666 -7685.893504337411
158.60313859959268 -7685.799051404526
